 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
1 173.954918 190.320323 147.758188 94.945231 70.339588 72.126058 57.411457 53.700228 56.912288 48.545695 41.828454 123.753443 43.900999 53.223957 31.454626 33.998409 57.100431 58.628012 32.076407 43.059457 112.504246 30.521173 33.637751 33.956903 33.235258 46.512606 132.54012 84.016485 34.646888 37.671427 33.439254 115.175821 
2 310.218307 300.262439 160.220607 150.192161 110.234677 97.153367 97.228049 94.115668 64.53848 70.667232 64.713204 94.709008 49.117275 48.43003 54.65405 64.74761 126.101597 60.219528 40.058883 52.854438 42.064807 38.310874 41.613506 40.006528 31.787314 39.899942 115.346142 32.751023 39.825061 47.268029 165.302223 41.511547 
3 414.939624 402.954691 201.239816 188.234523 141.765417 134.386112 102.802545 103.698989 85.323561 83.633965 84.151808 74.063325 64.040458 67.27833 63.290712 93.153239 57.663588 60.15154 51.374576 64.261373 48.380705 163.283574 41.514244 45.91647 68.120236 136.364672 45.903708 44.615785 42.329974 47.305772 35.874204 47.529687 
4 518.047981 621.888006 271.980014 239.914127 169.802183 178.263744 130.364377 128.531012 113.394765 102.591185 95.993187 93.869391 79.580519 82.305256 83.694897 75.292949 114.764703 163.321172 153.792091 102.349501 60.887708 55.247518 56.671886 84.487354 53.794441 53.133134 149.779885 56.436782 61.776056 116.098076 52.735211 45.707994 
5 630.091489 597.889249 313.485946 285.716952 206.155813 193.884727 151.105232 153.850109 130.06421 125.939213 110.951914 109.375796 97.365195 99.143679 83.558239 83.290451 117.619757 89.111791 68.713517 139.15651 69.954148 64.556224 63.534515 202.502443 115.661125 202.603172 61.117753 59.169276 76.916663 54.545318 57.307826 105.538159 
6 726.832212 697.129403 372.52276 345.837243 244.695752 226.153131 184.698298 173.261668 145.559889 150.564184 124.913948 132.608956 116.810346 202.774469 221.647216 115.392672 194.009397 127.871955 89.31218 137.788255 76.218995 150.073401 164.755786 76.930916 68.0828 151.058565 70.495864 162.410546 63.011458 64.454726 60.614324 78.095723 
7 837.160158 779.442884 420.156865 403.709911 276.676906 260.224867 205.080872 198.210726 167.664273 161.680784 142.654432 169.86948 128.42591 121.924378 117.1602 154.709285 103.171673 134.142862 92.257869 100.185948 175.924429 82.969858 97.776136 142.940454 75.000502 75.663356 86.372189 70.885419 158.254971 175.229502 72.916992 86.177055 
8 1003.363727 877.72214 470.88429 436.07457 312.717665 297.885171 231.251292 223.226117 185.824521 194.621864 155.406101 151.945788 160.667229 141.021531 127.242804 122.884561 113.888327 206.432623 102.878565 102.078319 99.917895 93.896915 87.665067 85.334608 195.832565 83.928239 96.906415 83.204876 82.80361 79.655864 75.540337 105.263403 
9 1036.030241 969.309464 519.1349 484.077801 345.975229 333.191425 253.841013 250.723443 205.217673 202.770101 179.609055 171.758026 164.16254 173.126878 144.219383 156.864029 135.708454 212.065853 111.248126 156.058112 202.450468 101.690889 102.625706 142.012648 91.949097 87.267204 118.047792 93.906222 105.171811 83.877993 79.468445 76.42487 
10 1144.874446 1065.250609 571.701539 531.833027 380.140957 357.805275 282.51386 273.308717 271.32377 228.679699 192.926858 247.9671 174.73931 165.599016 151.598521 176.336305 132.548304 182.523534 121.974379 212.565901 113.432897 115.505865 105.229587 114.100401 98.533401 131.622168 98.838961 97.010356 87.896409 88.965169 85.63117 95.642619 
