 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
20 5.640122 7.011782 7.323008 7.758024 8.559646 7.32345 6.166993 7.22573 6.664877 8.700784 7.418609 8.013408 8.045045 16.268044 36.548881 23.887315 47.6504 11.708017 12.591943 26.225043 13.247085 36.732476 11.182064 33.478411 15.388047 14.390292 22.077764 34.670817 23.349065 35.624453 20.351256 99.854949 
21 5.921007 9.691428 9.680955 10.94623 9.188282 8.689624 8.656823 8.987073 8.968531 8.760705 17.524387 11.835271 8.012192 14.008143 30.953993 12.3673 12.698499 12.832575 13.972207 21.157166 11.984948 23.215162 50.984808 29.166798 12.232241 15.797211 18.635675 23.532693 75.379481 48.54112 57.521331 38.908326 
22 11.185954 13.50183 13.555834 14.257597 13.665942 9.028165 12.426179 13.691035 11.770217 10.768506 12.891401 10.912407 10.127351 22.436896 11.808335 11.59577 15.796563 17.097775 20.120412 26.211714 29.19777 23.691041 19.73637 20.87127 33.634533 59.158834 65.996323 25.530212 21.26878 30.470695 38.468731 23.354969 
23 11.771578 18.125264 17.576177 19.520367 18.816064 16.477793 16.243009 20.309094 22.463551 16.437767 11.641661 20.402682 14.63544 16.371192 13.599633 33.595068 18.683021 15.806126 172.448136 37.303151 33.015962 13.423221 12.283016 17.694281 16.513109 21.261704 43.136554 48.72822 68.406578 20.45218 67.83878 32.400389 
24 21.071845 22.246081 23.769892 19.732947 26.739205 19.88604 19.434818 15.279142 26.75662 22.566356 18.040474 24.975371 21.882057 37.308163 24.796479 87.705208 32.827091 57.16342 46.471729 16.470215 90.894777 19.446857 17.041101 47.14688 61.51315 148.110989 73.536058 93.650613 24.28223 44.028861 70.589578 141.255197 
25 27.355907 34.248932 34.242418 24.941291 30.288259 30.029233 25.086681 27.906518 24.605184 37.522414 22.406069 24.797309 25.411117 20.613436 22.395487 31.607416 30.601184 22.764762 20.453047 23.046011 63.221358 21.723363 28.03816 19.304512 29.924247 35.238778 47.750713 25.133765 29.346668 86.580395 76.866551 65.451304 
26 35.875998 51.821401 46.372689 54.568784 49.032116 35.293913 36.852106 31.125229 34.024726 27.776794 64.154528 32.985239 27.487635 28.993971 26.052899 25.967494 26.406207 57.763148 135.714075 30.912554 28.662835 24.438156 53.950239 115.529295 45.957123 76.239668 66.226357 105.204321 110.652677 68.881966 139.335308 54.197978 
27 56.310251 76.517742 71.24013 79.666356 64.081191 44.831789 44.862099 52.305573 56.121123 44.811964 48.732485 44.777653 115.356049 35.745836 40.161797 34.006041 39.344652 36.559512 90.083533 39.417116 130.829936 35.764103 84.414709 89.79539 30.55253 175.00489 92.431605 99.62949 44.606991 39.317253 105.995935 106.12928 
28 94.212464 117.619076 80.434051 75.573148 82.6818 68.340131 70.563625 58.31353 60.2599 47.7095 44.124771 43.118203 53.35123 48.082486 43.637505 50.120423 47.236734 47.944866 38.735964 53.398938 46.998275 105.441406 39.580732 36.940716 48.390377 48.288586 91.918852 51.472741 107.116739 100.056447 93.136322 140.350576 
29 110.495211 140.121834 127.265369 99.043764 131.901538 112.464195 104.304219 76.811829 89.026205 75.743381 70.622587 66.930984 80.598104 74.271395 80.906405 193.546724 124.621318 72.743245 67.075014 62.354034 56.863308 97.899573 100.6037 48.576843 67.811447 54.16924 51.357839 162.571127 85.18152 161.635787 59.619593 125.072683 
30 174.282049 232.680231 199.152663 173.878194 173.688388 172.639985 138.752749 140.131716 141.676925 111.046125 102.228171 96.761916 119.489687 107.029689 142.762497 122.588641 110.817598 87.353089 97.954662 112.063747 85.534857 201.951511 86.259766 169.296569 80.151456 168.172578 77.497856 101.988351 186.761639 166.636715 229.725863 145.559771 
31 291.548226 461.388696 364.334408 266.406571 303.545473 192.188088 228.034485 268.042423 244.972368 172.284808 152.554458 163.163 149.68892 145.661577 160.256547 146.570236 141.043036 152.081351 184.837378 155.959829 125.799733 121.636055 138.443589 194.376208 202.117811 272.574189 115.076783 110.059776 143.515778 186.921221 165.334483 146.27689 
32 448.51473 846.546526 611.144969 429.843486 556.591502 444.059007 497.914051 393.981059 316.387 281.593237 248.936549 312.059283 229.25212 248.578478 259.917821 242.647699 236.482648 241.885908 291.978641 200.785617 426.882927 218.053368 225.872042 272.090064 180.934275 272.848288 155.548825 253.353813 214.880904 228.868479 233.750011 222.179466 
33 718.731901 1423.259453 1078.640704 1048.295618 812.999713 692.921303 879.425882 650.285269 724.328496 502.266516 582.401753 470.850838 404.103534 456.178555 430.573411 425.214259 442.049243 420.290315 449.743913 404.260585 357.007668 428.379594 379.947319 282.85272 361.078227 360.978379 418.764177 395.346854 316.624497 321.142485 437.947452 350.17798 
34 1146.523577 2305.803959 1812.200774 1582.968112 1461.38146 1358.890178 1158.743206 1142.378903 1215.443393 1050.82801 847.663525 931.175317 852.058472 956.379578 756.185062 720.985558 780.969339 682.244854 890.927425 648.176937 720.797723 613.991148 578.240057 554.23565 613.774619 499.367204 545.440801 610.966765 508.403209 539.284229 487.810791 481.603466 
35 1887.28677 3809.687601 2935.023853 2612.315031 2479.762854 2220.378877 2075.808209 1982.5067 1892.340106 1362.167595 1438.662891 1434.219061 1341.261512 1228.957814 1385.93936 1069.134711 1203.985665 1324.375646 1067.882108 1076.239549 1199.407026 884.643233 1241.168852 919.646702 983.011005 921.296773 931.131244 877.426133 855.168192 764.922562 815.454919 785.715021 
